artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,cluster_label
Armin van Buuren,7n0tdLess1KeIFAHGH0fVM,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 3",0.276,0.6679999999999999,33780,0.462,0.0,9,0.6659999999999999,-10.292,1,0.38,89.691,5,0.907,12,5
Armin van Buuren,5F1lGLl5wpnhC3y8cYMpho,"A State Of Trance (ASOT 874) - Coming Up, Pt. 4",0.115,0.5379999999999999,48750,0.795,0.0,11,0.855,-10.377,0,0.0933,100.567,4,0.721,12,0
Armin van Buuren,7ftu8yJOfPaM6T8wE81Mt8,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 4",0.305,0.76,36520,0.462,0.0,11,0.409,-11.029000000000002,0,0.422,88.645,5,0.918,12,5
Adam Ellis,3HRLlKWdmzXfAmbcrOkevH,An Ember In The Ashes (ASOT 874),0.000108,0.408,268410,0.979,0.981,1,0.55,-11.928,1,0.0673,135.993,4,0.1159999999999999,16,0
Maarten de Jong,4mAMQYAVYgogB0aKVC6TIp,Cast Iron (ASOT 874),9.14e-06,0.246,147280,0.802,0.905,7,0.536,-10.609000000000002,1,0.0431,135.974,4,0.152,17,0
Armin van Buuren,6c6yKJwLGzXOu0vEakOH13,A State Of Trance (ASOT 874) - Contact 'Service For Dreamers',0.0577,0.555,38230,0.547,0.0,9,0.66,-11.486,0,0.341,64.775,4,0.6459999999999999,11,5
Armin van Buuren,1S0RxwsyXIzBEgFjSm5kSR,"A State Of Trance (ASOT 874) - Track Recap, Pt. 4",0.0478,0.427,33240,0.659,0.0,7,0.348,-10.572,1,0.2019999999999999,134.254,4,0.698,11,5
Jeremy Vancaulart,2VcMphlgKGvL1qkYGc8x6U,Hurt (ASOT 874),7.840000000000001e-05,0.428,224650,0.975,0.48,6,0.708,-10.791,1,0.131,138.026,4,0.0398,18,0
Armin van Buuren,4Z2PSznN20oTgid0Oipjcg,"A State Of Trance (ASOT 874) - Coming Up, Pt. 5",0.0769,0.486,34920,0.805,0.0,8,0.256,-10.663,1,0.249,131.339,1,0.391,11,3
Armin van Buuren,4Qx6U2LJUc7BsRJdeJtofE,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 1",0.192,0.602,34150,0.49,0.0,11,0.894,-11.624,1,0.4379999999999999,68.184,4,0.575,11,5
Monada,6m7oudpYFspprKzxVAEr6q,Sunbeam (ASOT 874),1.7e-05,0.365,158780,0.8809999999999999,0.966,4,0.428,-12.329,0,0.0455,137.986,4,0.12,13,0
Armin van Buuren,6YAL6PEqjMuZQ7KTLD8W4q,We Control The Sunlight (ASOT 874) - Dan Stone Remix,1.26e-05,0.418,235450,0.86,0.465,6,0.2239999999999999,-11.502,0,0.0735,137.866,4,0.206,16,0
Armin van Buuren,7jaWLAOLee9FTHwpCT6Ktr,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 2",0.207,0.599,32200,0.529,0.0,11,0.848,-11.018,0,0.325,133.665,4,0.585,11,5
Armin van Buuren,1n5fuPLpUn9U5uqJGWfV7L,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 3",0.205,0.564,36370,0.473,0.0,1,0.358,-11.533,0,0.324,119.102,3,0.309,11,5
John Askew,65xGXbgdMo3KZGMrcbLNuE,On The Rocks (ASOT 874),0.00294,0.387,137390,0.989,0.959,1,0.684,-11.694,1,0.0813,138.07399999999998,4,0.33,18,0
Armin van Buuren,4XG9o1DYkfDf4q5olv04ca,Missing (ASOT 874) - Jorn van Deynhoven Remix,1.89e-05,0.456,192000,0.948,0.457,7,0.288,-11.608,1,0.0953,138.004,4,0.081,16,0
MaRLo,7EzEEmLfztTRDMLqSDE5Dk,Always Be Around (ASOT 874) - Pinkque Remix,0.0002089999999999,0.392,205160,0.816,0.371,4,0.327,-11.267,0,0.048,138.077,4,0.0373,15,0
Armin van Buuren,6T1VY8XrCMCImAWrg9nJcE,"A State Of Trance (ASOT 874) - Track Recap, Pt. 5",0.103,0.409,31340,0.8390000000000001,0.0,10,0.657,-10.477,0,0.314,139.716,4,0.652,10,0
Cosmic Gate,2FAWvFvbnIQewuisjPhcmh,Exploration Of Space (ASOT 874),0.00704,0.425,58910,0.922,0.0109,7,0.331,-10.325,1,0.0526,138.055,4,0.695,12,0
ALPHA 9,0geQd4APFu9K4FjqwKkZjp,Burning Heart (ASOT 874),1.39e-05,0.4479999999999999,210000,0.85,0.0228,0,0.539,-10.879,1,0.0349,128.05200000000002,4,0.218,16,0
Avao,05bIw49oVIztN3mwOyYKY5,Activate (ASOT 874) [Trending Track],0.000648,0.465,64370,0.855,0.254,7,0.462,-11.082,1,0.054,138.076,4,0.5429999999999999,12,0
Audien,7yHAA8e16KX1IBOswH2KRc,Wayfarer (ASOT 874),0.000151,0.43,89980,0.8759999999999999,0.317,7,0.184,-12.224,0,0.0941,127.994,4,0.75,14,1
Armin van Buuren,7iaOnKcGfobqKucWY3XBR1,A State Of Trance (ASOT 874) - Shout Outs,0.283,0.465,32190,0.616,0.0,11,0.584,-10.644,1,0.1989999999999999,148.377,4,0.878,10,5
Armin van Buuren,4J02UuHtK28HzY43XpOjz8,EIFORYA (ASOT 874),0.0472,0.254,45330,0.314,0.51,0,0.181,-12.533,1,0.043,138.033,4,0.493,11,6
ALPHA 9,25I7GOLJGXTg6Euw3t7f6B,Skin (ASOT 874),0.19,0.423,154470,0.449,0.43,2,0.482,-12.175999999999998,0,0.0335,128.059,4,0.165,14,0
Above & Beyond,4QtksZ3EZhNpiBlNAj3WU6,My Own Hymn (ASOT 874) - ALPHA 9 Remix,0.000643,0.296,261059,0.58,0.000176,0,0.262,-11.186,1,0.0476,127.613,4,0.156,14,0
Armin van Buuren,0MiOAORl4xjf5FR7HruHKx,A State Of Trance (ASOT 874) - Vote For DJ Mag Top 100,0.0416,0.441,42230,0.836,0.0,0,0.307,-10.729,0,0.095,137.64700000000002,4,0.634,10,0
Reverse,4nRayAcWEtaviWhQ8O6xCn,Absolute Reality (ASOT 874) - ARTY Remix,4.57e-05,0.421,180410,0.561,0.8,10,0.1689999999999999,-12.234000000000002,1,0.0468,127.934,4,0.0524,15,6
ALPHA 9,01GJ1uuXSQycnqSHCk43c7,The Night Is Ours (ASOT 874),0.00052,0.3989999999999999,173790,0.5710000000000001,0.0594,5,0.2769999999999999,-11.42,0,0.0458,128.064,4,0.243,15,0
Armin van Buuren,3MxEH4OLGgyXzdi0y3QThf,"A State Of Trance (ASOT 874) - Track Recap, Pt. 6",0.0493,0.423,33160,0.675,0.0,7,0.433,-10.714,1,0.1989999999999999,142.369,3,0.8079999999999999,10,0
Deniz Koyu,0lNjg4MOf3X36oZmkmnVm2,Hydra (ASOT 874),0.00883,0.408,75000,0.6679999999999999,0.96,8,0.151,-11.939,0,0.0584,127.879,4,0.0917,13,1
Rafael Frost,28ujdbx9KMnEeaGrRLLqUV,New York (ASOT 874),4.9000000000000005e-06,0.523,40990,0.586,0.765,1,0.8320000000000001,-11.145,1,0.057,127.962,4,0.336,11,0
